| searchIndex     | searchRa        | searchDec       | ned_name                     | ra              | dec             | object_type     | redshift        | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005220.40+085937.9 | 00:52:20.40     | +08:59:37.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005350.74+085025.3 | 00:53:50.75     | +08:50:25.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005247.84+090601.7 | 00:52:47.85     | +09:06:01.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005302.02+090658.9 | 00:53:02.03     | +09:06:59.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005341.38+090308.7 | 00:53:41.39     | +09:03:08.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005214.89+085704.2 | 00:52:14.89     | +08:57:04.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005318.16+090646.0 | 00:53:18.16     | +09:06:46.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | NVSS J005344+090253          | 00:53:44.30     | +09:02:53.4     | RadioS          |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005222.33+090159.8 | 00:52:22.34     | +09:01:59.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005251.08+084209.6 | 00:52:51.09     | +08:42:09.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005336.50+084418.6 | 00:53:36.50     | +08:44:18.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005222.89+090232.4 | 00:52:22.90     | +09:02:32.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005343.19+090334.1 | 00:53:43.20     | +09:03:34.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005224.69+084605.1 | 00:52:24.70     | +08:46:05.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005309.83+090736.9 | 00:53:09.83     | +09:07:37.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005226.81+090344.6 | 00:52:26.81     | +09:03:44.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00535774+0855294      | 00:53:57.76     | +08:55:29.4     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005308.99+084131.5 | 00:53:09.00     | +08:41:31.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005341.76+090402.1 | 00:53:41.77     | +09:04:02.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005357.32+085220.8 | 00:53:57.33     | +08:52:20.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005250.94+084152.0 | 00:52:50.94     | +08:41:52.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005355.88+085831.5 | 00:53:55.88     | +08:58:31.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005257.48+084128.1 | 00:52:57.48     | +08:41:28.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005248.97+084155.9 | 00:52:48.98     | +08:41:55.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00524164+0842250      | 00:52:41.63     | +08:42:25.2     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005251.09+090740.8 | 00:52:51.09     | +09:07:40.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005301.99+090812.2 | 00:53:01.99     | +09:08:12.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005342.50+090441.9 | 00:53:42.51     | +09:04:41.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005309.53+084050.8 | 00:53:09.54     | +08:40:50.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005210.61+085059.3 | 00:52:10.62     | +08:50:59.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005217.34+084704.0 | 00:52:17.34     | +08:47:04.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005338.71+090551.3 | 00:53:38.72     | +09:05:51.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005237.72+084207.8 | 00:52:37.72     | +08:42:07.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005338.34+090606.4 | 00:53:38.34     | +09:06:06.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005336.37+090630.4 | 00:53:36.38     | +09:06:30.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005353.73+084700.5 | 00:53:53.74     | +08:47:00.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005352.22+090251.8 | 00:53:52.23     | +09:02:51.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005306.88+084014.6 | 00:53:06.88     | +08:40:14.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005237.91+084144.6 | 00:52:37.91     | +08:41:44.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005228.37+090602.3 | 00:52:28.38     | +09:06:02.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005336.29+084212.9 | 00:53:36.29     | +08:42:13.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005218.56+084519.1 | 00:52:18.57     | +08:45:19.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005250.82+090855.4 | 00:52:50.83     | +09:08:55.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00530546+0909250      | 00:53:05.48     | +09:09:25.2     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00533606+0907153      | 00:53:36.08     | +09:07:15.6     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00525087+0909020      | 00:52:50.88     | +09:09:02.0     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005331.67+090754.7 | 00:53:31.67     | +09:07:54.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005301.06+090928.4 | 00:53:01.06     | +09:09:28.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005216.05+090328.7 | 00:52:16.05     | +09:03:28.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00522271+0843504      | 00:52:22.70     | +08:43:50.6     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00535801+0902354      | 00:53:58.02     | +09:02:35.2     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005329.75+090841.8 | 00:53:29.75     | +09:08:41.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005202.61+085227.1 | 00:52:02.62     | +08:52:27.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00540531+0859106      | 00:54:05.31     | +08:59:10.4     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005216.64+090445.6 | 00:52:16.65     | +09:04:45.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005337.67+090803.0 | 00:53:37.67     | +09:08:03.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005229.21+090739.3 | 00:52:29.21     | +09:07:39.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005403.68+090037.2 | 00:54:03.68     | +09:00:37.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005231.16+084112.8 | 00:52:31.17     | +08:41:12.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005407.83+085705.5 | 00:54:07.84     | +08:57:05.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005317.65+091003.4 | 00:53:17.66     | +09:10:03.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005349.67+084301.3 | 00:53:49.67     | +08:43:01.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005254.69+083845.5 | 00:52:54.70     | +08:38:45.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005231.66+090825.4 | 00:52:31.66     | +09:08:25.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005336.73+084035.7 | 00:53:36.74     | +08:40:35.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005221.10+090637.6 | 00:52:21.11     | +09:06:37.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005228.54+084108.2 | 00:52:28.55     | +08:41:08.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005244.10+090956.6 | 00:52:44.10     | +09:09:56.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00540848+0858266      | 00:54:08.47     | +08:58:27.0     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005244.60+091002.4 | 00:52:44.60     | +09:10:02.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005256.36+083827.3 | 00:52:56.36     | +08:38:27.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005258.37+091050.2 | 00:52:58.37     | +09:10:50.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | NVSS J005344+090747          | 00:53:44.02     | +09:07:47.8     | RadioS          |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005320.60+091033.6 | 00:53:20.61     | +09:10:33.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | NVSS J005352+084257          | 00:53:52.00     | +08:42:57.6     | RadioS          |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005230.07+084030.6 | 00:52:30.08     | +08:40:30.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005254.18+083811.9 | 00:52:54.18     | +08:38:11.9     | UvS             |                 | 
